[09-May-2022 11:52:44 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function add() on null in /home/sispoc5/public_html/application/controllers/piezas/Rendiciones.php on line 197
[09-May-2022 11:57:58 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function add() on null in /home/sispoc5/public_html/application/controllers/piezas/Rendiciones.php on line 197
[09-May-2022 12:02:03 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function add() on null in /home/sispoc5/public_html/application/controllers/piezas/Rendiciones.php on line 197
[09-May-2022 12:33:04 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[09-May-2022 12:33:05 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[09-May-2022 12:33:08 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[09-May-2022 12:33:10 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[09-May-2022 12:33:12 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[09-May-2022 12:33:14 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[09-May-2022 12:33:14 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[09-May-2022 12:33:14 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[09-May-2022 12:33:29 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method stdClass::save() in /home/sispoc5/public_html/application/controllers/piezas/Recepcion.php on line 109
[09-May-2022 17:37:51 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function row() on boolean in /home/sispoc5/public_html/prueba/application/models/Codegen_model.php on line 24
[09-May-2022 17:38:13 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function row() on boolean in /home/sispoc5/public_html/prueba/application/models/Codegen_model.php on line 24
[09-May-2022 17:41:02 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function row() on boolean in /home/sispoc5/public_html/prueba/application/models/Codegen_model.php on line 24
[09-May-2022 17:47:42 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function row() on boolean in /home/sispoc5/public_html/prueba/application/models/Codegen_model.php on line 24
[10-May-2022 15:43:08 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function result() on boolean in /home/sispoc5/public_html/prueba/application/controllers/consultas/Consulta_historico_hojas_rutas.php on line 54
[10-May-2022 15:43:27 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function result() on boolean in /home/sispoc5/public_html/prueba/application/controllers/consultas/Consulta_historico_hojas_rutas.php on line 54
[11-May-2022 10:29:06 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function row() on boolean in /home/sispoc5/public_html/prueba/application/models/Codegen_model.php on line 24
[11-May-2022 10:29:17 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function row() on boolean in /home/sispoc5/public_html/prueba/application/models/Codegen_model.php on line 24
[11-May-2022 10:29:49 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function row() on boolean in /home/sispoc5/public_html/prueba/application/models/Codegen_model.php on line 24
[11-May-2022 13:14:29 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function result() on boolean in /home/sispoc5/public_html/prueba/application/controllers/ajax/Hojas_rutas.php on line 982
[11-May-2022 13:16:31 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function result() on boolean in /home/sispoc5/public_html/prueba/application/controllers/ajax/Hojas_rutas.php on line 982
[11-May-2022 13:18:01 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function result() on boolean in /home/sispoc5/public_html/prueba/application/controllers/ajax/Hojas_rutas.php on line 982
[11-May-2022 13:44:44 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function result() on boolean in /home/sispoc5/public_html/prueba/application/controllers/ajax/Hojas_rutas.php on line 982
[11-May-2022 13:47:14 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function result() on boolean in /home/sispoc5/public_html/prueba/application/controllers/ajax/Hojas_rutas.php on line 982
[11-May-2022 13:50:01 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function result() on boolean in /home/sispoc5/public_html/prueba/application/controllers/ajax/Hojas_rutas.php on line 985
[11-May-2022 13:51:47 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function result() on boolean in /home/sispoc5/public_html/prueba/application/controllers/ajax/Hojas_rutas.php on line 982
[11-May-2022 13:52:36 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function result() on boolean in /home/sispoc5/public_html/prueba/application/controllers/ajax/Hojas_rutas.php on line 982
[11-May-2022 13:53:25 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function result() on boolean in /home/sispoc5/public_html/prueba/application/controllers/ajax/Hojas_rutas.php on line 983
[11-May-2022 13:55:40 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function result() on boolean in /home/sispoc5/public_html/prueba/application/controllers/ajax/Hojas_rutas.php on line 982
[11-May-2022 15:14:18 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function result() on boolean in /home/sispoc5/public_html/prueba/application/controllers/ajax/Despachos.php on line 519
[11-May-2022 16:20:42 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function add() on null in /home/sispoc5/public_html/prueba/application/controllers/piezas/Rendiciones.php on line 197
[11-May-2022 17:01:11 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function result_array() on boolean in /home/sispoc5/public_html/prueba/application/controllers/piezas/Consulta_bolsas_piezas.php on line 208
[11-May-2022 17:01:38 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function result_array() on boolean in /home/sispoc5/public_html/prueba/application/controllers/piezas/Consulta_bolsas_piezas.php on line 208
[16-May-2022 10:17:25 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function query() on boolean in /home/sispoc5/public_html/prueba/system/database/drivers/mysqli/mysqli_driver.php on line 221
[16-May-2022 11:12:56 America/Argentina/Tucuman] PHP Fatal error:  Call to undefined method CI_DB_mysqli_driver::orLike() in /home/sispoc5/public_html/prueba/application/models/Plantilla_md.php on line 18
[16-May-2022 11:57:43 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function query() on boolean in /home/sispoc5/public_html/prueba/system/database/drivers/mysqli/mysqli_driver.php on line 221
[16-May-2022 11:57:49 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function query() on boolean in /home/sispoc5/public_html/prueba/system/database/drivers/mysqli/mysqli_driver.php on line 221
[16-May-2022 11:57:57 America/Argentina/Tucuman] PHP Fatal error:  Call to a member function query() on boolean in /home/sispoc5/public_html/prueba/system/database/drivers/mysqli/mysqli_driver.php on line 221
[17-May-2022 14:06:41 America/Argentina/Tucuman] PHP Fatal error:  Class 'Symfony\Component\VarDumper\Dumper\HtmlDumper' not found in /home/sispoc5/public_html/prueba/vendor/illuminate/support/Debug/HtmlDumper.php on line 8
[17-May-2022 14:09:25 America/Argentina/Tucuman] PHP Fatal error:  Class 'Symfony\Component\VarDumper\Dumper\HtmlDumper' not found in /home/sispoc5/public_html/prueba/vendor/illuminate/support/Debug/HtmlDumper.php on line 8
[17-May-2022 17:06:30 America/Argentina/Tucuman] PHP Fatal error:  Cannot use object of type stdClass as array in /home/sispoc5/public_html/prueba/application/controllers/plantillas/Plantillas.php on line 227
